phase,A1_actionId,C_actionId,n_context,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
front3,15,3,1456,4,2,0.554188853754677,9,0.4444444444444444,0.006181318681318681
front3,15,3,1456,4,3,0.5539875083048433,23,0.5652173913043478,0.015796703296703296
front3,15,3,1456,4,5,0.7738460467907173,1,1.0,0.0006868131868131869
front3,15,4,1456,4,1,0.5272269182267617,19,0.631578947368421,0.01304945054945055
front3,15,4,1456,4,4,0.5959750174677794,6,0.3333333333333333,0.004120879120879121
front3,15,5,1456,4,0,0.0013226345393383414,4,0.0,0.0027472527472527475
front3,15,5,1456,4,1,0.5021722857039845,109,0.43119266055045874,0.07486263736263736
front3,15,5,1456,4,2,0.48249110001274714,5,0.4,0.003434065934065934
front3,15,5,1456,4,3,0.47048170047374016,26,0.38461538461538464,0.017857142857142856
front3,15,6,1456,4,0,0.0013553910137719045,1,0.0,0.0006868131868131869
front3,15,6,1456,4,1,0.5124245635142275,221,0.49321266968325794,0.15178571428571427
front3,15,6,1456,4,2,0.5104877360502416,13,0.38461538461538464,0.008928571428571428
front3,15,6,1456,4,3,0.5120359000478701,40,0.425,0.027472527472527472
front3,15,6,1456,4,5,0.579074028522637,3,0.3333333333333333,0.0020604395604395605
front3,15,7,1456,4,1,0.46636059854539497,17,0.4117647058823529,0.011675824175824176
front3,15,7,1456,4,2,0.4706235844774603,1,0.0,0.0006868131868131869
front3,15,7,1456,4,3,0.4498487146547689,3,1.0,0.0020604395604395605
front3,15,8,1456,4,1,0.36417513242033683,7,0.2857142857142857,0.004807692307692308
front3,15,8,1456,4,2,0.3724525146829847,1,1.0,0.0006868131868131869
front3,15,8,1456,4,3,0.35449074832454575,1,0.0,0.0006868131868131869
front3,15,8,1456,4,4,0.5368779218103922,1,0.0,0.0006868131868131869
front3,15,9,1456,4,2,0.45691006159822994,13,0.5384615384615384,0.008928571428571428
front3,15,9,1456,4,3,0.40656312049592913,4,0.75,0.0027472527472527475
front3,15,9,1456,4,5,0.5785439422593546,1,1.0,0.0006868131868131869
front3,15,10,1456,4,0,0.001050726119530184,1,0.0,0.0006868131868131869
front3,15,10,1456,4,1,0.39607954768040793,1,0.0,0.0006868131868131869
front3,15,10,1456,4,2,0.4045701333464049,60,0.31666666666666665,0.04120879120879121
front3,15,10,1456,4,3,0.32546923920360066,10,0.1,0.006868131868131868
front3,15,10,1456,4,4,0.5069284224954315,3,0.6666666666666666,0.0020604395604395605
front3,15,10,1456,4,5,0.459251385666288,1,1.0,0.0006868131868131869
front3,15,11,1456,4,2,0.44823687499785086,13,0.46153846153846156,0.008928571428571428
front3,15,11,1456,4,3,0.3528830248705747,8,0.125,0.005494505494505495
front3,15,11,1456,4,5,0.4848757683133685,1,0.0,0.0006868131868131869
front3,15,12,1456,4,0,0.0012842966925899774,1,0.0,0.0006868131868131869
front3,15,12,1456,4,2,0.46342617111372714,40,0.35,0.027472527472527472
front3,15,12,1456,4,3,0.4018063244801535,2,0.0,0.0013736263736263737
front3,15,12,1456,4,5,0.5242886946375405,1,0.0,0.0006868131868131869
front3,15,13,1456,4,0,0.0011728051642989092,4,0.0,0.0027472527472527475
front3,15,13,1456,4,1,0.34494343122742704,46,0.43478260869565216,0.03159340659340659
front3,15,13,1456,4,2,0.33958830363134146,1,0.0,0.0006868131868131869
front3,15,13,1456,4,3,0.2890566892041339,93,0.25806451612903225,0.06387362637362637
front3,15,13,1456,4,4,0.6056753130438381,3,0.3333333333333333,0.0020604395604395605
front3,15,14,1456,4,3,0.24119793503984618,2,0.5,0.0013736263736263737
front3,15,1,3103,5,0,0.001222157352595803,11,0.0,0.003544956493715759
front3,15,1,3103,5,1,0.5047012826757685,1084,0.5295202952029521,0.34933934901708025
front3,15,1,3103,5,2,0.4441006975919792,3,0.3333333333333333,0.0009668063164679343
front3,15,1,3103,5,3,0.4829670072718505,2,1.0,0.0006445375443119562
front3,15,1,3103,5,5,0.7857038712143852,1,1.0,0.0003222687721559781
front3,15,2,3103,5,0,0.0012101436168019284,3,0.0,0.0009668063164679343
front3,15,2,3103,5,1,0.48743418852973425,217,0.4423963133640553,0.06993232355784725
front3,15,2,3103,5,3,0.465391401101607,1,0.0,0.0003222687721559781
front3,15,3,3103,5,1,0.5316637867684006,1,1.0,0.0003222687721559781
front3,15,3,3103,5,2,0.5369926663278143,11,0.2727272727272727,0.003544956493715759
front3,15,3,3103,5,3,0.5665367229806985,17,0.6470588235294118,0.0054785691266516275
front3,15,3,3103,5,5,0.795840883921266,1,1.0,0.0003222687721559781
front3,15,4,3103,5,1,0.5063581375901359,50,0.54,0.016113438607798906
front3,15,4,3103,5,3,0.5254414699795181,1,1.0,0.0003222687721559781
front3,15,4,3103,5,4,0.6294823909461689,18,0.6111111111111112,0.005800837898807605
front3,15,5,3103,5,0,0.0012372143595372025,1,0.0,0.0003222687721559781
front3,15,5,3103,5,1,0.4860282034167581,139,0.4028776978417266,0.044795359329680956
