A1_actionId,C_actionId,A1_playerId,use_count,win_rate,usage_share
15,5,72,23,0.391304347826087,0.04267161410018553
15,5,73,8,0.625,0.014842300556586271
15,5,75,1,1.0,0.0018552875695732839
15,5,76,2,0.0,0.0037105751391465678
15,5,79,4,0.5,0.0074211502782931356
15,5,80,2,1.0,0.0037105751391465678
15,5,81,8,0.25,0.014842300556586271
15,5,82,13,0.6923076923076923,0.02411873840445269
15,5,83,1,0.0,0.0018552875695732839
15,5,86,14,0.35714285714285715,0.025974025974025976
15,5,87,1,1.0,0.0018552875695732839
15,5,90,1,1.0,0.0018552875695732839
15,5,92,2,0.0,0.0037105751391465678
15,5,95,2,0.0,0.0037105751391465678
15,5,96,15,0.4666666666666667,0.027829313543599257
15,5,99,1,0.0,0.0018552875695732839
15,5,101,14,0.21428571428571427,0.025974025974025976
15,5,102,2,0.0,0.0037105751391465678
15,5,103,4,0.75,0.0074211502782931356
15,5,104,1,1.0,0.0018552875695732839
15,5,105,4,0.25,0.0074211502782931356
15,5,106,10,0.7,0.01855287569573284
15,5,107,1,1.0,0.0018552875695732839
15,5,109,2,1.0,0.0037105751391465678
15,5,110,2,0.0,0.0037105751391465678
15,5,111,23,0.43478260869565216,0.04267161410018553
15,5,112,13,0.6923076923076923,0.02411873840445269
15,5,115,16,0.4375,0.029684601113172542
15,5,116,4,0.5,0.0074211502782931356
15,5,118,1,0.0,0.0018552875695732839
15,5,121,1,1.0,0.0018552875695732839
15,5,122,12,0.5,0.022263450834879406
15,5,123,2,0.5,0.0037105751391465678
15,5,126,1,1.0,0.0018552875695732839
15,5,128,6,0.5,0.011131725417439703
15,5,129,3,0.0,0.0055658627087198514
15,5,130,1,1.0,0.0018552875695732839
15,5,132,17,0.23529411764705882,0.03153988868274583
15,5,134,2,1.0,0.0037105751391465678
15,5,136,68,0.5,0.1261595547309833
15,5,137,7,0.7142857142857143,0.012987012987012988
15,5,139,1,0.0,0.0018552875695732839
15,5,140,13,0.23076923076923078,0.02411873840445269
15,5,143,1,1.0,0.0018552875695732839
15,5,144,22,0.5454545454545454,0.04081632653061224
15,5,145,4,0.25,0.0074211502782931356
15,5,147,4,0.25,0.0074211502782931356
15,5,148,1,1.0,0.0018552875695732839
15,5,149,8,0.5,0.014842300556586271
15,5,150,5,0.2,0.00927643784786642
15,5,152,1,0.0,0.0018552875695732839
15,5,155,2,0.5,0.0037105751391465678
