phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
late,2,1,4,7,0.6683537426519142,1,1.0,0.25
late,2,13,4,7,0.35306685615239725,2,0.5,0.5
late,2,14,4,7,0.3266650398065236,1,0.0,0.25
late,3,3,2,7,0.7272065437544045,2,1.0,1.0
late,4,2,1,7,0.7396872911852678,1,1.0,1.0
late,10,2,3,7,0.6900408174692987,3,1.0,1.0
late,11,1,3,7,0.5223237694689189,1,1.0,0.3333333333333333
late,11,4,3,7,0.5093201154182592,1,0.0,0.3333333333333333
late,11,10,3,7,0.46882554904350027,1,0.0,0.3333333333333333
late,13,13,1,7,0.023843029376586417,1,0.0,1.0
late,1,1,35,8,0.6215735761315438,22,0.5909090909090909,0.6285714285714286
late,1,5,35,8,0.5920722514478485,9,0.6666666666666666,0.2571428571428571
late,1,6,35,8,0.5908117019208224,2,1.0,0.05714285714285714
late,1,13,35,8,0.3395604131265406,2,0.0,0.05714285714285714
late,2,1,6,8,0.6035720278467875,2,0.5,0.3333333333333333
late,2,2,6,8,0.5803346249872458,2,1.0,0.3333333333333333
late,2,5,6,8,0.5530189947655293,1,1.0,0.16666666666666666
late,2,12,6,8,0.48871650151913437,1,0.0,0.16666666666666666
late,3,3,1,8,0.6646513381772057,1,1.0,1.0
late,5,1,15,8,0.5402203818381821,2,0.5,0.13333333333333333
late,5,2,15,8,0.5121058987487219,3,0.3333333333333333,0.2
late,5,5,15,8,0.5007064805391358,6,0.5,0.4
late,5,6,15,8,0.5003034655700221,3,1.0,0.2
late,5,13,15,8,0.2692346750570441,1,0.0,0.06666666666666667
late,6,1,12,8,0.5785822576963285,5,0.8,0.4166666666666667
late,6,5,12,8,0.5231176872524015,1,0.0,0.08333333333333333
late,6,6,12,8,0.5231176872524015,3,0.6666666666666666,0.25
late,6,13,12,8,0.2599055058593558,3,0.3333333333333333,0.25
late,10,1,8,8,0.6927618941291706,2,0.5,0.25
late,10,2,8,8,0.6668322357052427,3,0.3333333333333333,0.375
late,10,6,8,8,0.6644652317368211,1,1.0,0.125
late,10,13,8,8,0.4379173148948993,2,0.5,0.25
late,11,10,2,8,0.6367682111459386,1,1.0,0.5
late,11,13,2,8,0.39623459617542356,1,0.0,0.5
late,13,1,4,8,0.5745944432164964,2,1.0,0.5
late,13,5,4,8,0.5352933724619848,1,0.0,0.25
late,13,6,4,8,0.5352933724619848,1,0.0,0.25
late,14,14,1,8,0.24519697206644742,1,1.0,1.0
late,1,3,1,9,0.5889373420250905,1,0.0,1.0
late,1,1,12,10,0.5947764851062388,7,0.42857142857142855,0.5833333333333334
late,1,2,12,10,0.5727094063296655,1,0.0,0.08333333333333333
late,1,3,12,10,0.5849359152896187,1,0.0,0.08333333333333333
late,1,6,12,10,0.556033109068674,2,0.5,0.16666666666666666
late,1,13,12,10,0.32511711377784797,1,0.0,0.08333333333333333
late,2,1,3,10,0.6057799400349011,2,1.0,0.6666666666666666
late,2,10,3,10,0.49622697611566363,1,0.0,0.3333333333333333
late,4,1,1,10,0.8352498595877007,1,1.0,1.0
late,7,1,3,10,0.732184123710156,2,1.0,0.6666666666666666
late,7,13,3,10,0.45644141263916094,1,0.0,0.3333333333333333
late,10,1,5,10,0.7024914316588207,3,0.6666666666666666,0.6
late,10,13,5,10,0.387969866218849,2,0.5,0.4
late,11,1,1,10,0.7394707454976841,1,1.0,1.0
late,13,1,11,10,0.5798256601770245,3,0.6666666666666666,0.2727272727272727
late,13,2,11,10,0.5597224640214141,2,0.5,0.18181818181818182
late,13,6,11,10,0.5364259198378909,1,1.0,0.09090909090909091
late,13,13,11,10,0.29284268012107756,4,0.25,0.36363636363636365
late,13,14,11,10,0.25656234846250836,1,0.0,0.09090909090909091
